became,become
began,begin
bent,bend
bit,bite
bled,bleed
blew,blow
broke,break
bred,breed
brought,bring
built,build
bought,buy
caught,catch
chose,choose
clung,cling
came,come
crept,creep
dealt,deal
dug,dig
did,do
drew,draw
dreamed,dream
drank,drink
drove,drive
ate,eat
fell,fall
fed,feed
felt,feel
fought,fight
found,find
fled,flee
flew,fly
forbade,forbid
forgot,forget
forgave,forgive
froze,freeze
got,get
gave,give
went,go
grew,grow
hung,hang
had,have
heard,hear
hid,hide
held,hold
kept,keep
knew,know
laid,lay
led,lead
left,leave
lent,lend
lay,lie
lost,lose
made,make
meant,mean
met,meet
paid,pay
rode,ride
rang,ring
rose,rise
ran,run
said,say
saw,see
sought,seek
sold,sell
sent,send
shook,shake
shone,shine
shot,shoot
showed,show
shrank,shrink
sang,sing
sank,sink
sat,sit
slept,sleep
slid,slide
spoke,speak
sped,speed
spent,spend
spat,spit
stood,stand
stole,steal
stuck,stick
struck,strike
swore,swear
swept,sweep
swam,swim
swung,swing
took,take
taught,teach
tore,tear
told,tell
thought,think
threw,throw
understood,understand
woke,wake
wore,wear
won,win
wound,wind
withdrew,withdraw
wrote,write
shined,shine
lit,light
beaten,beat
begun,begin
bitten,bite
blown,blow
broken,break
chosen,choose
done,do
drawn,draw
dreamt,dream
drunk,drink
driven,drive
eaten,eat
fallen,fall
flown,fly
forbidden,forbid
forgotten,forget
forgiven,forgive
frozen,freeze
gotten,get
given,give
gone,go
grown,grow
hidden,hide
known,know
lain,lie
ridden,ride
rung,ring
risen,rise
seen,see
shaken,shake
shown,show
shrunk,shrink
sung,sing
sunk,sink
spoken,speak
stolen,steal
sworn,swear
swum,swim
taken,take
torn,tear
thrown,throw
woken,wake
worn,wear
withdrawn,withdraw
written,write
always,always
morning,morning
lying,lie

